"","year","id","go","m","l","k","sic3dig","countyear","va"
"937",84,84807,13232.3935546875,10166.7939453125,18,1405.46508789062,311,8,3065.599609375
"938",82,84807,12897.8828125,10934.173828125,14,1737.65405273438,311,8,1963.708984375
"939",79,84807,11677.5517578125,7057.1181640625,20,2328.54638671875,311,8,4620.43359375
"940",80,84807,9887,6955,13,2089.91162109375,311,8,2932
"941",86,84807,12288.3125,9851.6376953125,22,1134.01232910156,311,8,2436.6748046875
"942",83,84807,11757.021484375,8644.1162109375,16,1564.84204101562,311,8,3112.9052734375
"943",81,84807,9522.4755859375,7149.5625,14,1876.11828613281,311,8,2372.9130859375
"944",85,84807,14454.8203125,11767.7783203125,18,1262.42651367188,311,8,2687.0419921875
"945",86,85032,18100.650390625,10836.0146484375,19,1395.41015625,311,8,7264.6357421875
"946",85,85032,18319.642578125,12011.1669921875,21,1576.59753417969,311,8,6308.4755859375
"947",83,85032,20717.83984375,11506.359375,20,2046.63342285156,311,8,9211.48046875
"948",81,85032,19326.224609375,9360.8271484375,19,2153.62890625,311,8,9965.3974609375
"949",79,85032,14866.970703125,8323.3662109375,20,1639.93017578125,311,8,6543.6044921875
"950",84,85032,17923.541015625,10391.849609375,21,1796.79577636719,311,8,7531.69140625
"951",80,85032,15995.5263671875,8616,20,1448.98767089844,311,8,7379.5263671875
"952",82,85032,22900.732421875,12173.494140625,22,1936.7314453125,311,8,10727.23828125
"953",79,85941,24288.072265625,13391.0498046875,32,9414.80078125,311,8,10897.0224609375
"954",81,85941,31940.955078125,10068.0849609375,11,8668.138671875,311,8,21872.87109375
"955",80,85941,30983.3984375,14917,35,8849.71875,311,8,16066.3984375
"956",86,85941,30772.427734375,20292.642578125,50,8059.65869140625,311,8,10479.78515625
"957",85,85941,26015.353515625,18306.498046875,59,7657.3310546875,311,8,7708.85546875
"958",83,85941,18840.6953125,10164.9072265625,28,8042.1884765625,311,8,8675.7880859375
"959",82,85941,15657.826171875,6989.84326171875,36,8071.9169921875,311,8,8667.982421875
"960",84,85941,23001.458984375,15963.3154296875,44,7672.712890625,311,8,7038.1435546875
"961",82,86292,25135.05859375,18997.841796875,36,8558.263671875,311,8,6137.216796875
"962",81,86292,23627.701171875,17030.970703125,35,9078.7216796875,311,8,6596.73046875
"963",85,86292,13255.375,10811.4091796875,28,6525.55859375,311,8,2443.9658203125
"964",83,86292,21009.181640625,16058.296875,35,8044.6015625,311,8,4950.884765625
"965",80,86292,23659,17635,33,9737.6318359375,311,8,6024
"966",79,86292,23920.775390625,18240.970703125,33,10588.828125,311,8,5679.8046875
"967",86,86292,14316.29296875,10699.2080078125,26,5893.36865234375,311,8,3617.0849609375
"968",84,86292,15018.98046875,11433.6728515625,36,7234.31591796875,311,8,3585.3076171875
